sample-id	Plot	Time	Site	SiteType
#q2:types	categorical	categorical	categorical	categorical
1	RA1	August	RA	Riparian
10	MC5	August	MC	MidElevation
100	MA5	October	MA	MidElevation
101	MB1	October	MB	MidElevation
102	MB2	October	MB	MidElevation
103	MB3	October	MB	MidElevation
104	MB4	October	MB	MidElevation
105	MB5	October	MB	MidElevation
106	RB1	October	RB	Riparian
107	RB2	October	RB	Riparian
108	RB3	October	RB	Riparian
109	RB4	October	RB	Riparian
11	RA1	June	RA	Riparian
110	RB5	October	RB	Riparian
111	RC1	October	RC	Riparian
112	RC2	October	RC	Riparian
113	RC3	October	RC	Riparian
114	RC4	October	RC	Riparian
115	RC5	October	RC	Riparian
116	HB1	June	HB	HighElevation
117	HB2	June	HB	HighElevation
118	HB3	June	HB	HighElevation
119	HB4	June	HB	HighElevation
12	RA2	June	RA	Riparian
120	HB5	June	HB	HighElevation
121	MB1	June	MB	MidElevation
122	MB2	June	MB	MidElevation
123	MB3	June	MB	MidElevation
124	MB4	June	MB	MidElevation
125	MB5	June	MB	MidElevation
126	RB1	June	RB	Riparian
127	RB2	June	RB	Riparian
128	RB3	June	RB	Riparian
129	RB4	June	RB	Riparian
13	RA3	June	RA	Riparian
130	RB5	June	RB	Riparian
131	RC1	June	RC	Riparian
132	RC2	June	RC	Riparian
133	RC3	June	RC	Riparian
134	RC4	June	RC	Riparian
135	RC5	June	RC	Riparian
14	RA4	June	RA	Riparian
15	RA5	June	RA	Riparian
16	MC1	June	MC	MidElevation
17	MC2	June	MC	MidElevation
18	MC3	June	MC	MidElevation
19	MC4	June	MC	MidElevation
2	RA2	August	RA	Riparian
20	MC5	June	MC	MidElevation
21	RA1	October	RA	Riparian
22	RA2	October	RA	Riparian
23	RA3	October	RA	Riparian
24	RA4	October	RA	Riparian
25	RA5	October	RA	Riparian
26	MC1	October	MC	MidElevation
27	MC2	October	MC	MidElevation
28	MC3	October	MC	MidElevation
29	MC4	October	MC	MidElevation
3	RA3	August	RA	Riparian
30	MC5	October	MC	MidElevation
31	HA1	June	HA	HighElevation
32	HA2	June	HA	HighElevation
33	HA3	June	HA	HighElevation
34	HA4	June	HA	HighElevation
35	HA5	June	HA	HighElevation
36	HA1	October	HA	HighElevation
37	HA2	October	HA	HighElevation
38	HA3	October	HA	HighElevation
39	HA4	October	HA	HighElevation
4	RA4	August	RA	Riparian
40	HA5	October	HA	HighElevation
41	HC1	June	HC	HighElevation
42	HC2	June	HC	HighElevation
43	HC3	June	HC	HighElevation
44	HC4	June	HC	HighElevation
45	HC5	June	HC	HighElevation
46	MA1	June	MA	MidElevation
47	MA2	June	MA	MidElevation
48	MA3	June	MA	MidElevation
49	MA4	June	MA	MidElevation
5	RA5	August	RA	Riparian
50	MA5	June	MA	MidElevation
51	HC1	August	HC	HighElevation
52	HC2	August	HC	HighElevation
53	HC3	August	HC	HighElevation
54	HC4	August	HC	HighElevation
55	HC5	August	HC	HighElevation
56	HC1	October	HC	HighElevation
57	HC2	October	HC	HighElevation
58	HC3	October	HC	HighElevation
59	HC4	October	HC	HighElevation
6	MC1	August	MC	MidElevation
60	HC5	October	HC	HighElevation
61	HA1	August	HA	HighElevation
62	HA2	August	HA	HighElevation
63	HA3	August	HA	HighElevation
64	HA4	August	HA	HighElevation
65	HA5	August	HA	HighElevation
66	HB1	August	HB	HighElevation
67	HB2	August	HB	HighElevation
68	HB3	August	HB	HighElevation
69	HB4	August	HB	HighElevation
7	MC2	August	MC	MidElevation
70	HB5	August	HB	HighElevation
71	MA1	August	MA	MidElevation
72	MA2	August	MA	MidElevation
73	MA3	August	MA	MidElevation
74	MA4	August	MA	MidElevation
75	MA5	August	MA	MidElevation
76	MB1	August	MB	MidElevation
77	MB2	August	MB	MidElevation
78	MB3	August	MB	MidElevation
79	MB4	August	MB	MidElevation
8	MC3	August	MC	MidElevation
80	MB5	August	MB	MidElevation
81	RB1	August	RB	Riparian
82	RB2	August	RB	Riparian
83	RB3	August	RB	Riparian
84	RB4	August	RB	Riparian
85	RB5	August	RB	Riparian
86	RC1	August	RC	Riparian
87	RC2	August	RC	Riparian
88	RC3	August	RC	Riparian
89	RC4	August	RC	Riparian
9	MC4	August	MC	MidElevation
90	RC5	August	RC	Riparian
91	HB1	October	HB	HighElevation
92	HB2	October	HB	HighElevation
93	HB3	October	HB	HighElevation
94	HB4	October	HB	HighElevation
95	HB5	October	HB	HighElevation
96	MA1	October	MA	MidElevation
97	MA2	October	MA	MidElevation
98	MA3	October	MA	MidElevation
99	MA4	October	MA	MidElevation
